query,车辆候选列表,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,正确答案.1,price_min,正确答案.2,price_max,正确答案.3,model,think_time,问题,备注,车型组合
叫辆车去玄武湖公园，不要拼车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 64 }","[{""app"": ""无"", ""category"": ""不要拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,不要拼车,特价，快速，舒适出发，六座，特惠快车，经济，特快车，出租,无,花小猪外接版，特惠快车，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,False,,0,,0,,Qwen2.5-32B-Instruct,1.028704882,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
从贾西地铁站打车去雨花客厅，要六座车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 65 }","[{""app"": ""无"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,六座车,六座,无,六座专车,False,,0,,0,,Qwen2.5-32B-Instruct,1.09281683,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
拼个晚上8点到达南京站的车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 66 }","[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,拼车,拼车，特价拼车,无,特价拼车，极速拼车,False,,0,,0,,Qwen2.5-32B-Instruct,0.988048315,直接命中车小类关键字但answer中没有或错误,,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
预约22点从家到公司的特价车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 67 }","[{""app"": ""无"", ""category"": ""特价车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,特价车,特价，特惠快车，经济，特价拼车,无,特价拼车，特惠快车,False,,0,,0,,Qwen2.5-32B-Instruct,1.067413092,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
4个人去南京市政府，打个专车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 68 }","[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,专车,无,无,滴滴专车，六座专车,False,,0,,0,,Qwen2.5-32B-Instruct,1.005013943,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
从这拼车去南京南站贵吗？,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 69 }","[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,拼车,拼车，特价拼车,无,特价拼车，极速拼车,True,False,0,,0,,Qwen2.5-32B-Instruct,1.071648121,"直接命中车小类关键字但answer中没有或错误,直接命中价格关键字但answer中没有或错误",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
叫辆顺风车，21点出发，从公司到家。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 70 }","[{""app"": ""无"", ""category"": ""顺风车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,顺风车,无,无,,False,,0,,0,,Qwen2.5-32B-Instruct,1.008497,answer下的车型必须存在于“车辆候选列表”,,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
查找去南京河西CBD的顺风车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 71 }","[{""app"": ""无"", ""category"": ""顺风车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,顺风车,无,无,,False,,0,,0,,Qwen2.5-32B-Instruct,1.099113703,answer下的车型必须存在于“车辆候选列表”,,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
叫一辆去南京大学仙林校区的出租车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 72 }","[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,出租车,出租,无,特快出租车，聚优出租，出租车,False,,0,,0,,Qwen2.5-32B-Instruct,0.960869074,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
打车去南京博物院，不要特价车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 73 }","[{""app"": ""无"", ""category"": ""不要特价车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,不要特价车,拼车，快速，舒适出发，六座，特快车，出租,无,极速拼车，花小猪外接版，滴滴快车，特快出租车，滴滴专车，滴滴豪华车，六座专车，365约车，聚优出租，特快车，出租车,False,,0,,0,,Qwen2.5-32B-Instruct,1.014178276,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,"[{'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'六座': '六座专车'}, {'经济': '聚优出租'}, {'出租': '出租车'}, {'快速': '滴滴快车'}, {'舒适出发': '滴滴豪华车'}, {'特价': '花小猪外接版'}, {'拼车': '特价拼车'}, {'特价': '特惠快车'}, {'快速': '特快出租车'}, {'特价拼车': '特价拼车'}, {'特惠快车': '特惠快车'}, {'拼车': '极速拼车'}, {'特快车': '特快车'}]"
