query,车辆候选列表,id,大类|小类,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price正确答案,price_min,price_min正确答案,price_max,price_max正确答案,model,think_time,问题,备注,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,车型组合
打车去夫子庙，越快越好。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 61 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.997767687,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
10分钟内给我打一辆去中山陵的车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 62 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,1.056787968,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
叫辆车去南京博物院，四分钟内过来。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 63 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.990454197,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打车去南京大学，我要在4分钟内上车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 64 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.983696699,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打车去新街口，别让我等太久。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 65 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,1.000226259,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
我要去总统府，三分钟内来辆车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 66 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.994853497,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打的去南京师范大学，车子六分钟内过来。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 67 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.98760128,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打辆车去侵华日军南京大屠杀遇难同胞纪念馆，最多等8分钟。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 68 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.960133314,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打车去南京林业大学，需要最快能赶过来的车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 69 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,0.973298788,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
帮我打一辆6分钟内去德基广场的车。,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 70 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,1.056908607,,,,,,,,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
